id,tyc,gaia,hyg,hip,hd,hr,gl,bayer,flam,con,proper,ra,dec,pos_src,dist,x0,y0,z0,dist_src,mag,absmag,ci,mag_src,rv,rv_src,pm_ra,pm_dec,pm_src,vx,vy,vz,spect,spect_src
1662606,397-519-1,4.44151680711782E+018,82481,82733,152695,NULL,NULL,NULL,NULL,Oph,NULL,16.91025495,7.33987624,T,48.5799,-13.56,-46.234,6.206,G_R3,9.33,5.898,0.79,HIP,18.827,G_R3,178.719,-183.677,G_R3,32.718,-34.686,-39.547,K0,HYG
1662722,7367-322-1,5.97781472049913E+018,82487,82739,NULL,NULL,NULL,NULL,NULL,Sco,NULL,16.91130508,-35.2249516,T,34.7512,-7.982,-27.243,-20.044,G_R3,11.78,9.075,1.457,HIP,-3.682,G_R3,15.015,-88.921,G_R3,5.595,10.3,-9.842,M1,HYG
1662882,4191-871-1,1.63072785884971E+018,82498,82750,153344,NULL,NULL,NULL,NULL,Dra,NULL,16.91277148,62.09993619,T,40.3266,-5.299,-18.111,35.639,G_R3,7.07,4.042,0.676,HIP,-89.385,G_R3,-332.313,-53.947,G_R3,-51.786,49.235,-83.821,G5IV,T
1664011,6226-1034-1,4.12906219264728E+018,NULL,NULL,NULL,NULL,NULL,NULL,NULL,Oph,NULL,16.92308592,-19.43001214,T,43.7705,-11.484,-39.648,-14.56,G_R3,11.029,7.823,1.876,T,15.3,G_R3,-74.571,-77.013,G_R3,-17.397,-4.448,-20.159,NULL,N
1664065,5642-1583-1,4.33946536051032E+018,82557,82809,NULL,NULL,Gl 643,NULL,NULL,Oph,NULL,16.923675,-8.322576,HIP_X,6.4988,-1.788,-6.177,-0.94,G_R3,11.73,12.666,1.7,HIP,15.205,G_R3,-817.58,-898.595,G_R3,-27.263,-3.6,-29.592,M4,HYG
1664174,5642-1503-1,NULL,82565,82817,152751,NULL,Gl 644A,NULL,NULL,Oph,NULL,16.92465748,-8.33638313,T,6.1954,-1.703,-5.889,-0.898,HIP,9.02,10.06,1.553,HIP,12.1,HYG,-829.34,-878.81,HYG,-25.685,-1.139,-27.291,M3Ve,HYG
1664250,9047-2007-1,5.81601251344532E+018,82568,82820,NULL,NULL,NULL,NULL,NULL,TrA,NULL,16.92537661,-65.25602992,T,40.1684,-4.668,-16.152,-36.48,G_R3,11.55,8.531,1.699,HIP,-33.394,G_R3,-49.083,-262.258,G_R3,7.494,59.593,9.426,K7,HYG
1664444,7363-382-1,6.02689554081155E+018,82582,82834,152606,NULL,NULL,NULL,NULL,Sco,NULL,16.92722474,-32.06769633,T,17.6872,-4.154,-14.401,-9.391,G_R3,9.58,8.342,1.378,HIP,-18.525,G_R3,94.915,-327.372,G_R3,16.037,26.88,-13.425,K4/5 V,T
1664741,3503-918-1,1.40786667878491E+018,82592,82844,NULL,NULL,NULL,NULL,NULL,Her,NULL,16.93008073,47.65732506,T,40.5753,-7.556,-26.265,29.99,G_R3,10.76,7.719,1.567,HIP,-33.206,G_R3,-59.725,171.716,G_R3,1.892,48.132,-2.297,K5,HYG
1664877,8730-305-1,5.92957917971334E+018,NULL,NULL,NULL,NULL,NULL,NULL,NULL,Ara,NULL,16.93122435,-55.38034889,T,48.8634,-7.667,-26.681,-40.212,G_R3,11.431,7.986,2.015,T,30.282,G_R3,-187.096,-150.931,G_R3,-38.458,23.086,-44.782,NULL,N
1664931,9043-574-1,5.81820012926386E+018,82598,82851,NULL,NULL,NULL,NULL,NULL,Ara,NULL,16.93187778,-62.4699134,T,36.5912,-4.668,-16.256,-32.448,G_R3,9.4,6.583,0.954,HIP,33.014,G_R3,-220.069,-313.674,G_R3,-27.585,42.244,-54.424,K3,HYG
1665116,4197-2429-1,1.63537546014237E+018,82607,82860,153597,6315,Gl 648,NULL,19,Dra,NULL,16.93380282,65.13480035,T,15.3162,-1.774,-6.191,13.896,G_R3,4.88,3.954,0.481,HIP,-20.669,G_R3,237.185,49.077,G_R3,19.84,6.718,-17.255,F6V,T
1665118,6219-952-1,4.13295862563668E+018,82608,82861,152781,6284,NULL,NULL,NULL,Oph,NULL,16.93384574,-16.80626621,T,42.308,-11.158,-38.933,-12.233,G_R3,6.33,3.198,0.952,HIP,0.999,G_R3,82.078,29.989,G_R3,15.082,-7.126,5.469,K0/1 III/IV,T
1665472,393-399-1,4.39264629840149E+018,NULL,NULL,NULL,NULL,NULL,NULL,NULL,Oph,NULL,16.93735558,5.29296339,T,45.1492,-12.346,-43.228,4.165,G_R3,11.367,8.094,2.568,T,-10.644,G_R3,-23.888,-62.401,G_R3,-2.344,10.411,-14.281,NULL,N
1665498,7363-1060-1,6.02645604978047E+018,NULL,NULL,152682,NULL,NULL,NULL,NULL,Sco,NULL,16.93767591,-33.63063022,T,43.7142,-9.993,-34.999,-24.211,G_R3,10.115,6.912,NULL,T,28.315,G_R3,-25.67,-47.96,G_R3,-10.077,-15.917,-23.957,K0,T
1665603,4426-975-1,1.65622051697665E+018,82633,82886,154181,NULL,NULL,NULL,NULL,Dra,NULL,16.93858481,74.28262773,T,49.4856,-3.6777,-12.8906,47.6347,G_R3,7.09,3.618,0.493,HIP,-9.3,HYG,53.616,-85.377,G_R3,7.498,-19.567,-14.378,F5,T
1666331,7868-1679-1,5.97018933242449E+018,NULL,NULL,152705,NULL,NULL,NULL,NULL,Sco,NULL,16.94518681,-39.13687429,T,15.6922,-3.319,-11.71,-9.904,G_R3,8.715,7.737,1.341,T,-8.953,G_R3,51.247,-108.699,G_R3,6.953,10.552,-0.621,K3/4 V,T
1666394,NULL,5.97141411971377E+018,119114,NULL,NULL,NULL,Gl 645,NULL,NULL,Sco,NULL,16.945937,-37.064171,GJ,20.2999108833912,-4.414,-15.586,-12.235,G_R3,11.44,9.903,1.51,GJ,-52.83,G_R2,-147.495,-454.897,G_R3,5.018,69.814,-3.09,NULL,NULL
1666484,7868-1524-3,5.97018950422319E+018,82670,82926,NULL,NULL,NULL,NULL,NULL,Sco,NULL,16.94682039,-39.09398313,T,15.7277,-3.323,-11.745,-9.918,G_R3,11.18,10.197,1.51,HIP,-7.002,G_R3,56.065,-106.791,G_R3,6.869,8.923,-1.764,M3Ve+...,HYG
1666592,9039-1319-1,5.91445577520705E+018,82674,82930,152388,NULL,NULL,NULL,NULL,Ara,NULL,16.94782435,-60.95683446,T,40.2747,-5.318,-18.815,-35.21,G_R3,8.34,5.315,0.904,HIP,3.779,G_R3,4.469,47.839,G_R3,-1.85,-9.681,1.13,K2 IV/V,T
1666916,8726-1820-1,5.93576833068979E+018,NULL,NULL,NULL,NULL,NULL,NULL,NULL,Ara,NULL,16.95082694,-53.89422567,T,49.2651,-7.874,-27.943,-39.803,G_R3,10.915,7.452,1.663,T,36.954,G_R3,17.648,50.156,G_R3,-4.506,-31.187,-22.954,NULL,N
1667011,9047-401-1,5.81757247561453E+018,82698,82954,152322,NULL,NULL,NULL,NULL,Ara,NULL,16.95168367,-64.1888623,T,47.2628,-5.577,-19.808,-42.548,G_R3,8.01,4.637,0.613,HIP,17.994,G_R3,6.433,-37.055,G_R3,1.29,-0.738,-19.813,G3 V,T
1667012,NULL,4.36560917004318E+018,119115,NULL,NULL,NULL,GJ 1207,NULL,NULL,Oph,NULL,16.951701,-4.350405,GJ,8.70202356856063,-2.352,-8.352,-0.66,G_R3,12.28,12.582,1.6,GJ,-3.47,OTHER,481.63,-376.22,G_R3,20.381,-0.921,-15.212,NULL,NULL
